,nome,tempo,tempo2,tempo3,tempo4,media,DURACAO,tempo_open,diferenca_open
0,449,14.18777777777778,13.89333333333334,15.205925925925925,13.971111111111115,14.31453703703704,10.0,6.931666666666667,-7.382870370370373
1,450,7.59962962962963,8.049259259259257,8.354074074074074,8.509259259259258,8.128055555555555,10.0,9.651666666666667,1.5236111111111121
2,451,11.31074074074074,9.694814814814817,12.797777777777778,9.385185185185184,10.797129629629632,10.0,6.931666666666667,-3.8654629629629653
3,452,11.08185185185185,11.92037037037037,11.600370370370367,11.262962962962963,11.466388888888886,10.0,9.651666666666667,-1.814722222222219
4,453,4.314444444444443,4.339629629629628,4.196666666666666,4.227777777777776,4.2696296296296286,10.0,3.485,-0.7846296296296287
5,454,7.547037037037037,6.770370370370368,6.59074074074074,7.500370370370371,7.102129629629628,10.0,8.49,1.387870370370372
6,455,2.6807407407407404,2.7692592592592593,2.9862962962962962,2.528148148148148,2.7411111111111106,10.0,3.485,0.7438888888888893
7,456,10.601111111111114,10.06037037037037,10.363333333333335,9.891111111111108,10.228981481481481,10.0,8.49,-1.7389814814814812
8,457,15.73473389355742,14.57633053221288,14.248599439775901,15.47647058823529,15.009033613445371,10.0,6.931666666666667,-8.077366946778705
9,458,11.505182072829133,11.26540616246499,11.581512605042018,11.363725490196076,11.428956582633052,10.0,9.651666666666667,-1.777289915966385
10,459,4.207282913165264,4.212324929971987,4.301260504201678,4.247759103641453,4.242156862745095,10.0,3.485,-0.7571568627450955
11,460,10.128851540616244,10.01176470588235,10.222408963585428,10.529691876750702,10.223179271708682,10.0,8.49,-1.733179271708682
12,461,4.257843137254898,4.227170868347336,4.281792717086833,4.190196078431371,4.23925070028011,10.0,3.485,-0.7542507002801098
13,462,10.441456582633052,9.67857142857143,9.948459383753505,10.233893557422972,10.07559523809524,10.0,8.49,-1.5855952380952392
14,900,11.67564102564101,11.551631701631687,11.467599067599062,11.828205128205118,11.63076923076922,15.0,6.656666666666666,-4.974102564102553
15,901,8.116724941724934,8.058741258741257,8.125524475524474,8.033857808857807,8.083712121212116,15.0,6.006666666666666,-2.07704545454545
16,904,14.630909090909162,14.704671717171774,14.64032828282835,14.590580808080874,14.641622474747539,15.0,10.118333333333334,-4.523289141414205
17,905,12.85626262626251,12.853333333333218,12.90146464646454,12.86386363636352,12.868731060605946,15.0,9.74,-3.1287310606059453
18,1011,62.98205980066444,62.62624584717602,65.71849390919157,60.769712070874874,63.02412790697672,45.0,39.09666666666667,-23.927461240310052
19,1012,70.07990033222589,72.24695459579182,72.42502768549278,68.39523809523808,70.78678017718715,120.0,36.775,-34.011780177187156
20,1102,15.306908831908823,15.490242165242156,15.396153846153846,15.833831908831907,15.506784188034182,10.0,8.336666666666666,-7.170117521367516
21,1103,12.526139601139617,12.172435897435895,12.618518518518524,12.281980056980059,12.399768518518524,15.0,8.115,-4.284768518518524
22,1354,12.31418219461698,12.219875776397513,12.088095238095235,11.938405797101447,12.140139751552793,20.0,8.053333333333333,-4.08680641821946
23,1355,13.743271221532085,13.532401656314697,13.19316770186336,14.171221532091094,13.660015527950309,20.0,9.378333333333334,-4.281682194616975
24,1637,13.0554411764706,13.166911764705901,13.265441176470617,13.170637254901976,13.164607843137274,10.0,6.55,-6.614607843137274
25,1638,11.24220588235291,11.228480392156833,11.319754901960753,11.267647058823497,11.264522058823498,10.0,5.1899999999999995,-6.074522058823499
26,1796,14.140660919540213,13.690948275862054,14.110129310344814,13.784195402298833,13.93148347701148,10.0,8.813333333333333,-5.118150143678147
27,1797,11.496120689655173,11.56558908045977,11.22636494252874,11.68045977011494,11.492133620689657,10.0,7.415,-4.077133620689657
28,1857,15.39060606060606,13.89606060606061,13.389393939393937,15.20090909090909,14.469242424242424,35.0,16.093333333333334,1.62409090909091
29,1858,11.710606060606061,11.129393939393935,11.432121212121212,11.79909090909091,11.517803030303028,15.0,14.771666666666667,3.253863636363638
30,1996,16.244861111111113,17.336250000000003,16.152499999999993,18.02694444444444,16.940138888888885,20.0,12.4,-4.540138888888885
31,1997,17.40375,16.737638888888885,16.749166666666664,17.645555555555553,17.134027777777774,15.0,10.226666666666667,-6.907361111111108
32,2187,5.854093567251463,6.114912280701755,5.740350877192983,5.715789473684211,5.856286549707603,10.0,4.015,-1.8412865497076032
33,2188,5.489181286549708,5.708479532163743,5.518421052631578,5.421929824561404,5.534502923976608,10.0,5.319999999999999,-0.21450292397660853
34,2189,3.9429824561403515,3.644152046783626,3.922222222222222,3.4359649122807014,3.736330409356725,5.0,4.963333333333334,1.2270029239766087
35,2190,10.366374269005847,8.824269005847954,10.554678362573101,11.268421052631581,10.253435672514621,10.0,7.9783333333333335,-2.275102339181288
36,2445,8.913793103448276,7.135057471264369,7.509195402298851,7.451149425287357,7.7522988505747135,15.0,7.655,-0.09729885057471321
37,2446,6.417241379310344,6.651724137931034,5.832183908045978,5.856896551724137,6.189511494252873,20.0,6.9366666666666665,0.7471551724137937
38,2489,5.061111111111113,4.25,4.745555555555556,4.017777777777778,4.518611111111111,10.0,6.08,1.5613888888888887
39,2490,3.463333333333333,2.6277777777777778,2.6222222222222227,2.5377777777777775,2.812777777777778,10.0,2.8733333333333335,0.060555555555555696
40,2495,4.612962962962963,4.551851851851852,4.268518518518518,4.309259259259259,4.4356481481481485,15.0,6.08,1.6443518518518516
41,2496,2.8722222222222222,2.3666666666666667,4.25,2.474074074074074,2.9907407407407405,10.0,2.8733333333333335,-0.11740740740740696
